<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20120117;000000;1653.4;1673.9;1653.4;1658.4;17671
20120118;000000;1658.5;1668.5;1648.5;1663.8;29973
20120119;000000;1664;1676.6;1655.1;1655.4;24691
20120120;000000;1660.3;1673.2;1649.7;1670;20252
20120123;000000;1670.5;1688.6;1670.5;1680.5;17532
20120124;000000;1679.5;1683.2;1666.6;1670.4;16719
20120125;000000;1673;1708.8;1651.5;1707.7;41717
20120126;000000;1708.5;1734.3;1707.2;1725.1;42499
20120127;000000;1722.6;1741.1;1720.5;1741.1;27480
20120130;000000;1739.1;1739.1;1721;1733.4;23340
20120131;000000;1735.5;1751.2;1728.3;1743.8;27954
20120201;000000;1741;1760;1736;1748.9;31657
20120202;000000;1750.8;1764.1;1744.3;1760.8;27261
20120203;000000;1760.8;1766.3;1730;1732;43407
20120206;000000;1735;1742.1;1715.6;1725.4;29457
20120207;000000;1724.8;1754.5;1713.7;1751;36283
20120208;000000;1754;1756.5;1725.1;1737.3;35710
20120209;000000;1738.9;1760.2;1730.2;1735.1;36413
20120210;000000;1735.8;1737.7;1707.8;1717.8;43120
20120213;000000;1722.9;1736.7;1718.8;1728;17492
20120214;000000;1726.1;1730;1715;1717.7;23304
20120215;000000;1717.7;1740;1717.7;1731.6;36060
20120216;000000;1725;1732.4;1708;1731.5;32413
20120217;000000;1732.4;1738.2;1720;1726.6;21144
20120220;000000;1728;1738.5;1728;1732.9;14044
20120221;000000;1734;1759.5;1734;1759;31824
20120222;000000;1759;1784;1750.8;1777.9;34121
20120224;000000;1785;1788.9;1772;1773.4;24260
20120227;000000;1775.6;1785;1763.4;1771.3;24963
20120228;000000;1773.7;1793.4;1773.7;1786.8;29877
20120229;000000;1786.1;1793.1;1705.9;1717;64429
20120301;000000;1714.9;1726.5;1701;1721.7;67827
20120302;000000;1721.2;1721.5;1701;1714.2;25608
20120305;000000;1712.7;1712.8;1691.7;1703.3;47928
20120306;000000;1701.7;1703.6;1663;1669.2;38324
20120307;000000;1675;1687.3;1670.9;1683.6;21598
20120311;000000;1700.9;1730;1700.9;1721.2;319
20120312;000000;1718;1718;1703;1710.3;11662
20120313;000000;1715;1720.3;1674.1;1676.6;15920
20120314;000000;1676.6;1694.3;1646;1650.2;26344
20120315;000000;1653.5;1675.09998;1650.19995;1667.90002;36242
20120316;000000;1667.5;1673.09998;1647.59998;1667.59998;25561
20120319;000000;1668.90002;1677;1658.09998;1670;20629
20120320;000000;1666.1;1666.1;1647;1652.90002;28612
20120321;000000;1655.19995;1667.5;1651.59998;1657;23752
20120322;000000;1655.1;1658;1633.8;1649.09998;38908
20120323;000000;1649.09998;1672.90002;1647.19995;1672.5;31636
20120326;000000;1672.5;1698.8;1660.40002;1697.5;42271
20120327;000000;1696.1;1703.8;1681.30005;1685;37933
20120328;000000;1683;1690.09998;1661.2;1668.6;29806
20120329;000000;1666.2;1670.7;1651.09998;1669;24969
20120330;000000;1670;1675.90002;1664.6;1674;15360
20120402;000000;1674;1688.5;1667.5;1682.3;14925
20120403;000000;1683.6;1685.5;1642.69995;1649.40002;38389
20120404;000000;1652.5;1652.5;1615.1;1629.8;39203
20120405;000000;1629.3;1638;1624.2;1635.5;31878
20120406;000000;1635.30005;1642.19995;1630.5;1631.5;2739
20120409;000000;1632.80005;1653.5;1632.80005;1646;17304
20120410;000000;1650.69995;1668;1631.6;1664.7;44898
20120411;000000;1664.2;1666.6;1656.8;1660.59998;23303
20120412;000000;1661.69995;1683.5;1654.09998;1679.5;27678
20120413;000000;1678.8;1681.3;1652;1658.59998;31629
20120416;000000;1656.5;1662;1645.19995;1656.6;17326
20120417;000000;1654.6;1661.30005;1638.6;1655;20272
20120418;000000;1655.69995;1659.09998;1641.8;1643.40002;19766
20120419;000000;1642.90002;1657.80005;1635;1645.6;36245
20120420;000000;1645.6;1652.1;1643;1648;28756
20120423;000000;1646.80005;1647;1627.5;1643;25274
20120424;000000;1639.1;1653.3;1636.3;1646.80005;22170
20120425;000000;1644.80005;1650;1627;1647;34477
20120426;000000;1648;1668.3;1648;1661.3;17401
20120427;000000;1660.4;1670.9;1653.4;1666.1;14366
20120428;000000;1666;1674.80005;1662.7;1670.09998;1383
20120502;000000;1668.59998;1668.59998;1650;1658.09998;22492
20120503;000000;1655;1655;1634.80005;1640.90002;29137
20120504;000000;1640.30005;1651.6;1630.69995;1647.3;28140
20120505;000000;1646.3;1646.3;1641.1;1643.80005;481
20120507;000000;1643.30005;1647.80005;1636.80005;1641.59998;13802
20120508;000000;1640.59998;1640.59998;1597.59998;1611.09998;36990
20120510;000000;1609;1609;1589.59998;1598.9;26027
20120511;000000;1595;1595.1;1576.7;1584;18124
20120512;000000;1581;1597.30005;1578.1;1588.90002;965
20120514;000000;1585.69995;1585.69995;1559.30005;1563.5;21921
20120515;000000;1562.7;1568.5;1547.09998;1547.69995;30990
20120516;000000;1546;1556;1530.5;1540.3;44902
20120517;000000;1540.3;1584.2;1540.3;1578.1;47803
20120518;000000;1576.7;1601.2;1573.8;1593;29309
20120521;000000;1594;1601.69995;1588;1591.7;26211
20120522;000000;1591.4;1595.3;1560.6;1565.7;40851
20120523;000000;1565.2;1567.7;1536.3;1566;41287
20120524;000000;1561.4;1581;1551.09998;1561.5;39369
20120525;000000;1558;1576.19995;1555.19995;1575.90002;23694
20120528;000000;1576.69995;1586.30005;1575.09998;1578.9;8452
20120529;000000;1580;1585.1;1550;1558.4;22640
20120530;000000;1557.9;1573.19995;1533;1567.30005;39837
20120531;000000;1567.30005;1576;1554.09998;1565.5;36370
20120601;000000;1563.7;1631.19995;1546.2;1625.69995;75323
20120604;000000;1629.5;1629.5;1612;1625;24215
20120605;000000;1620.8;1624.09998;1613;1615.09998;22830
20120606;000000;1620.19995;1643.5;1615;1624;60006
20120607;000000;1623.4;1632;1580.3;1593;67279
20120608;000000;1591.8;1597.4;1567.3;1595;36884
20120609;000000;1596;1607.40002;1582.30005;1599;2053
20120613;000000;1608;1631;1608;1624.30005;14397
20120614;000000;1628;1635;1618;1633.09998;20459
20120615;000000;1632.30005;1694.80005;1628.5;1635.3;48789
20120618;000000;1635;1638.5;1620.7;1632.5;22624
20120619;000000;1637.30005;1642.40002;1626.3;1629;13163
20120620;000000;1630;1631.4;1599;1614.09998;46902
20120621;000000;1614;1614;1574;1574;26355
20120622;000000;1573.5;1582.5;1567.8;1581.19995;19127
20120625;000000;1582.40002;1597.7;1573.90002;1593;23854
20120626;000000;1592.6;1596;1575.59998;1580.80005;17750
20120627;000000;1580.30005;1592.69995;1571.59998;1584.69995;35604
20120628;000000;1586.90002;1587.5;1556.3;1565;31439
20120629;000000;1565;1613.8;1565;1608.2;44806
20120702;000000;1602.2;1606.5;1593.5;1605.69995;13172
20120703;000000;1607.40002;1630.9;1607.40002;1623.7;20017
20120704;000000;1622.6;1629.69995;1612.30005;1620.5;10276
20120705;000000;1620.5;1636;1603.80005;1614.9;37321
20120706;000000;1612.7;1615.3;1582.69995;1589.19995;35561
20120709;000000;1588.5;1599;1585;1595;18738
20120710;000000;1593;1607.8;1570.5;1573.19995;36695
20120711;000000;1579.90002;1589.40002;1572.4;1583.2;32958
20120712;000000;1578;1584.9;1561.3;1580.5;45005
20120713;000000;1582;1601.69995;1575.40002;1594;35439
20120716;000000;1596.80005;1600;1581.5;1594.40002;19984
20120717;000000;1594.59998;1604;1574.09998;1587.5;26368
20120718;000000;1585;1593;1573.19995;1580.40002;26668
20120719;000000;1584.30005;1597.19995;1582.1;1587;30472
20120720;000000;1587;1594;1579.3;1591.90002;22752
20120723;000000;1585.40002;1587;1568.80005;1583.4;26170
20120724;000000;1583.8;1590.2;1574.5;1585.30005;22273
20120725;000000;1586.19995;1616.5;1586.19995;1609.7;44986
20120726;000000;1610.1;1627;1607.4;1622.5;35138
